Gite Alpha Vvent Pdyn Temp Beta Patm X Y Z L M N
0.0 0.0 10.4 67.2 11.9 15.0 101201 5.3 -6.8 7.0 10.9 20.2 1.7
0.0 0.0 10.4 66.7 11.8 20.0 101200 5.5 -9.3 7.4 14.5 21.5 2.5
0.0 0.0 10.4 66.7 11.8 25.0 101200 5.0 -11.5 9.6 16.6 21.1 3.5
0.0 0.0 10.4 66.5 11.8 30.0 101200 4.7 -13.1 14.8 18.4 24.2 4.2
0.0 0.0 10.3 66.1 11.8 35.0 101201 4.3 -14.8 14.7 22.3 28.2 4.6
0.0 0.0 10.4 66.3 11.8 40.0 101200 2.3 -16.4 14.1 24.7 26.3 5.3
0.0 3.0 10.5 67.7 12.2 15.0 101203 5.6 -6.4 14.7 11.7 31.3 0.8
0.0 3.0 10.4 67.1 11.9 20.0 101203 5.9 -8.7 17.2 14.8 32.7 1.3
0.0 3.0 10.4 66.8 11.9 25.0 101203 5.4 -10.8 21.4 16.7 33.4 2.0
0.0 3.0 10.4 66.5 11.8 30.0 101203 5.3 -12.4 24.6 19.1 35.7 2.6
0.0 3.0 10.4 66.3 11.8 35.0 101204 5.5 -13.4 25.9 22.9 41.3 2.8
0.0 3.0 10.4 66.6 11.8 40.0 101203 3.6 -15.4 26.6 25.9 40.3 3.4
0.0 6.0 10.3 65.4 12.0 15.0 101203 8.5 -5.1 22.9 9.7 47.7 -1.0
0.0 6.0 10.2 64.8 11.9 20.0 101203 7.6 -6.8 26.8 11.9 48.3 -0.8
0.0 6.0 10.2 64.9 11.9 25.0 101205 7.3 -9.4 30.7 15.3 48.7 -0.2
0.0 6.0 10.3 65.3 11.8 30.0 101205 7.1 -10.6 34.3 17.4 50.0 0.3
0.0 6.0 10.2 64.7 11.8 35.0 101205 7.5 -11.6 35.8 21.0 55.0 0.4
0.0 6.0 10.2 64.5 11.8 40.0 101206 5.5 -13.7 36.2 24.6 53.2 1.0
10.0 6.0 10.2 64.4 12.2 15.0 101198 5.8 -4.4 12.5 7.8 28.4 -2.3
10.0 6.0 10.2 64.6 11.9 20.0 101198 5.9 -7.1 11.8 11.4 26.5 -1.3
10.0 6.0 10.2 64.5 11.8 25.0 101198 5.4 -9.3 12.3 13.4 22.7 0.1
10.0 6.0 10.2 64.5 11.9 30.0 101200 5.2 -11.0 13.5 14.7 20.8 1.2
10.0 6.0 10.2 64.9 11.8 35.0 101199 4.2 -14.3 8.3 20.3 18.9 2.7
10.0 6.0 10.2 64.9 11.8 40.0 101200 1.2 -17.1 2.0 23.9 9.1 4.5
10.0 3.0 10.2 64.6 12.0 15.0 101204 4.9 -6.0 6.0 9.5 18.5 -0.1
10.0 3.0 10.3 65.2 11.9 20.0 101203 5.2 -9.0 4.6 13.4 16.0 1.4
